r, Channel 1, Channel 2
4.24, -0.206247, -0.000444248
4.25, -0.19953, -0.000425629
4.26, -0.192741, -0.000404452
4.27, -0.185882, -0.000380805
4.28, -0.178955, -0.000354794
4.29, -0.171963, -0.000326535
4.3, -0.164907, -0.00029616
4.31, -0.15779, -0.00026381
4.32, -0.150614, -0.00022964
4.33, -0.143382, -0.000193816
4.34, -0.136094, -0.000156514
4.35, -0.128755, -0.000117917
4.36, -0.121365, -7.82193e-05
4.37, -0.113928, -3.76214e-05
4.38, -0.106445, 3.66962e-06
4.39, -0.0989193, 4.54415e-05
4.4, -0.0913521, 8.74774e-05
4.41, -0.0837461, 0.000129557
4.42, -0.0761035, 0.000171459
4.43, -0.0684263, 0.00021296
4.44, -0.0607168, 0.000253836
4.45, -0.052977, 0.000293867
4.46, -0.045209, 0.000332833
4.47, -0.037415, 0.000370517
4.48, -0.0295968, 0.00040671
4.49, -0.0217566, 0.000441206
4.5, -0.0138962, 0.000473806
4.51, -0.00601751, 0.00050432
4.52, 0.00187751, 0.000532567
4.53, 0.00978708, 0.000558375
4.54, 0.0177094, 0.000581583
4.55, 0.0256428, 0.000602043
4.56, 0.0335855, 0.000619618
4.57, 0.0415359, 0.000634184
4.58, 0.0494924, 0.000645634
4.59, 0.0574534, 0.000653873
4.6, 0.0654175, 0.000658822
4.61, 0.0733832, 0.000660417
4.62, 0.0813491, 0.000658613
4.63, 0.0893139, 0.000653379
4.64, 0.0972763, 0.000644702
4.65, 0.105235, 0.000632585
4.66, 0.113189, 0.00061705
4.67, 0.121137, 0.000598134
4.68, 0.129077, 0.000575894
4.69, 0.13701, 0.000550402
4.7, 0.144933, 0.000521747
4.71, 0.152846, 0.000490035
4.72, 0.160748, 0.000455389
4.73, 0.168639, 0.000417946
4.74, 0.176516, 0.00037786
4.75, 0.18438, 0.000335299
4.76, 0.19223, 0.000290443
4.77, 0.200066, 0.000243489
4.78, 0.207885, 0.000194642
4.79, 0.215689, 0.000144123
4.8, 0.223475, 9.21592e-05
4.81, 0.231245, 3.89903e-05
4.82, 0.238997, -1.51366e-05
4.83, 0.246731, -6.9967e-05
4.84, 0.254446, -0.00012524
4.85, 0.262142, -0.00018069
4.86, 0.269819, -0.000236047
4.87, 0.277476, -0.000291038
4.88, 0.285113, -0.000345391
4.89, 0.29273, -0.00039883
4.9, 0.300326, -0.000451084
4.91, 0.307902, -0.000501883
4.92, 0.315456, -0.000550959
4.93, 0.322989, -0.000598051
4.94, 0.330502, -0.000642904
4.95, 0.337992, -0.000685272
4.96, 0.345461, -0.000724913
4.97, 0.352908, -0.000761601
4.98, 0.360333, -0.000795117
4.99, 0.367737, -0.000825255
5, 0.375118, -0.000851823
5.01, 0.382477, -0.000874643
5.02, 0.389814, -0.000893552
5.03, 0.397128, -0.000908404
5.04, 0.404421, -0.000919068
5.05, 0.411691, -0.000925433
5.06, 0.418938, -0.000927406
5.07, 0.426163, -0.000924912
5.08, 0.433366, -0.000917895
5.09, 0.440546, -0.000906322
5.1, 0.447704, -0.000890179
5.11, 0.454839, -0.00086947
5.12, 0.461952, -0.000844225
5.13, 0.469043, -0.000814491
5.14, 0.47611, -0.000780337
5.15, 0.483156, -0.000741855
5.16, 0.490178, -0.000699155
5.17, 0.497178, -0.00065237
5.18, 0.504156, -0.000601651
5.19, 0.511111, -0.000547171
5.2, 0.518044, -0.00048912
5.21, 0.524954, -0.000427708
5.22, 0.531841, -0.000363164
5.23, 0.538706, -0.000295733
5.24, 0.545548, -0.000225675
5.25, 0.552368, -0.000153268
5.26, 0.559165, -7.88036e-05
5.27, 0.56594, -2.58553e-06
5.28, 0.572691, 7.50691e-05
5.29, 0.579421, 0.000153832
5.3, 0.586128, 0.000233367
5.31, 0.592812, 0.000313326
