r Re(potential) Im(potential) Coupling
2.37 -109.994 -19.9989 0.0210559
2.38 -109.994 -19.9988 0.0214812
2.39 -109.994 -19.9988 0.0219151
2.4 -109.993 -19.9988 0.0223578
2.41 -109.993 -19.9988 0.0228094
2.42 -109.993 -19.9987 0.0232701
2.43 -109.993 -19.9987 0.0237401
2.44 -109.993 -19.9987 0.0242196
2.45 -109.993 -19.9987 0.0247088
2.46 -109.993 -19.9986 0.0252079
2.47 -109.992 -19.9986 0.0257171
2.48 -109.992 -19.9986 0.0262365
2.49 -109.992 -19.9986 0.0267665
2.5 -109.992 -19.9985 0.0273071
2.51 -109.992 -19.9985 0.0278587
2.52 -109.992 -19.9985 0.0284214
2.53 -109.991 -19.9984 0.0289954
2.54 -109.991 -19.9984 0.0295811
2.55 -109.991 -19.9984 0.0301786
2.56 -109.991 -19.9983 0.0307881
2.57 -109.991 -19.9983 0.03141
2.58 -109.991 -19.9983 0.0320444
2.59 -109.99 -19.9982 0.0326916
2.6 -109.99 -19.9982 0.0333519
2.61 -109.99 -19.9982 0.0340255
2.62 -109.99 -19.9981 0.0347128
2.63 -109.99 -19.9981 0.0354139
2.64 -109.989 -19.9981 0.0361291
2.65 -109.989 -19.998 0.0368589
2.66 -109.989 -19.998 0.0376033
2.67 -109.989 -19.9979 0.0383628
2.68 -109.988 -19.9979 0.0391376
2.69 -109.988 -19.9979 0.0399281
2.7 -109.988 -19.9978 0.0407345
2.71 -109.988 -19.9978 0.0415572
2.72 -109.987 -19.9977 0.0423965
2.73 -109.987 -19.9977 0.0432528
2.74 -109.987 -19.9976 0.0441263
2.75 -109.987 -19.9976 0.0450175
2.76 -109.986 -19.9975 0.0459267
2.77 -109.986 -19.9975 0.0468543
2.78 -109.986 -19.9974 0.0478006
2.79 -109.986 -19.9974 0.0487659
2.8 -109.985 -19.9973 0.0497508
2.81 -109.985 -19.9973 0.0507556
2.82 -109.985 -19.9972 0.0517806
2.83 -109.984 -19.9972 0.0528264
2.84 -109.984 -19.9971 0.0538932
2.85 -109.984 -19.997 0.0549816
2.86 -109.983 -19.997 0.056092
2.87 -109.983 -19.9969 0.0572248
2.88 -109.983 -19.9969 0.0583804
2.89 -109.982 -19.9968 0.0595594
2.9 -109.982 -19.9967 0.0607622
2.91 -109.982 -19.9967 0.0619892
2.92 -109.981 -19.9966 0.0632411
2.93 -109.981 -19.9965 0.0645182
2.94 -109.981 -19.9965 0.0658211
2.95 -109.98 -19.9964 0.0671503
2.96 -109.98 -19.9963 0.0685063
2.97 -109.979 -19.9962 0.0698897
2.98 -109.979 -19.9962 0.071301
2.99 -109.979 -19.9961 0.0727409
3 -109.978 -19.996 0.0742097
3.01 -109.978 -19.9959 0.0757083
3.02 -109.977 -19.9958 0.077237
3.03 -109.977 -19.9958 0.0787967
3.04 -109.976 -19.9957 0.0803878
3.05 -109.976 -19.9956 0.082011
3.06 -109.975 -19.9955 0.083667
3.07 -109.975 -19.9954 0.0853564
3.08 -109.974 -19.9953 0.0870799
3.09 -109.974 -19.9952 0.0888382
3.1 -109.973 -19.9951 0.090632
3.11 -109.973 -19.995 0.0924619
3.12 -109.972 -19.9949 0.0943288
3.13 -109.972 -19.9948 0.0962334
3.14 -109.971 -19.9947 0.0981765
3.15 -109.97 -19.9946 0.100159
3.16 -109.97 -19.9945 0.102181
3.17 -109.969 -19.9944 0.104244
3.18 -109.969 -19.9943 0.106349
3.19 -109.968 -19.9942 0.108496
3.2 -109.967 -19.9941 0.110686
3.21 -109.967 -19.9939 0.112921
3.22 -109.966 -19.9938 0.115201
3.23 -109.965 -19.9937 0.117526
3.24 -109.965 -19.9936 0.119899
3.25 -109.964 -19.9934 0.12232
3.26 -109.963 -19.9933 0.124789
3.27 -109.962 -19.9932 0.127308
3.28 -109.962 -19.993 0.129878
3.29 -109.961 -19.9929 0.1325
3.3 -109.96 -19.9927 0.135175
3.31 -109.959 -19.9926 0.137903
3.32 -109.958 -19.9924 0.140687
3.33 -109.958 -19.9923 0.143527
3.34 -109.957 -19.9921 0.146424
3.35 -109.956 -19.992 0.14938
3.36 -109.955 -19.9918 0.152395
3.37 -109.954 -19.9916 0.155471
3.38 -109.953 -19.9915 0.158609
3.39 -109.952 -19.9913 0.16181
3.4 -109.951 -19.9911 0.165076
3.41 -109.95 -19.9909 0.168408
3.42 -109.949 -19.9908 0.171807
3.43 -109.948 -19.9906 0.175274
3.44 -109.947 -19.9904 0.178812
3.45 -109.946 -19.9902 0.18242
3.46 -109.945 -19.99 0.186102
3.47 -109.944 -19.9898 0.189857
3.48 -109.943 -19.9896 0.193689
3.49 -109.942 -19.9894 0.197597
3.5 -109.94 -19.9892 0.201585
3.51 -109.939 -19.9889 0.205653
3.52 -109.938 -19.9887 0.209802
3.53 -109.937 -19.9885 0.214036
3.54 -109.935 -19.9883 0.218354
3.55 -109.934 -19.988 0.22276
3.56 -109.933 -19.9878 0.227255
3.57 -109.931 -19.9875 0.23184
3.58 -109.93 -19.9873 0.236517
3.59 -109.929 -19.987 0.241289
3.6 -109.927 -19.9868 0.246157
3.61 -109.926 -19.9865 0.251123
3.62 -109.924 -19.9862 0.256189
3.63 -109.923 -19.9859 0.261357
3.64 -109.921 -19.9857 0.266629
3.65 -109.92 -19.9854 0.272008
3.66 -109.918 -19.9851 0.277495
3.67 -109.916 -19.9848 0.283092
3.68 -109.915 -19.9845 0.288802
3.69 -109.913 -19.9842 0.294627
3.7 -109.911 -19.9838 0.300569
3.71 -109.909 -19.9835 0.306631
3.72 -109.907 -19.9832 0.312815
3.73 -109.906 -19.9828 0.319123
3.74 -109.904 -19.9825 0.325559
3.75 -109.902 -19.9821 0.332124
3.76 -109.9 -19.9818 0.338821
3.77 -109.898 -19.9814 0.345653
3.78 -109.896 -19.981 0.352622
3.79 -109.894 -19.9807 0.359732
3.8 -109.891 -19.9803 0.366984
3.81 -109.889 -19.9799 0.374383
3.82 -109.887 -19.9795 0.381931
3.83 -109.885 -19.979 0.38963
3.84 -109.882 -19.9786 0.397484
3.85 -109.88 -19.9782 0.405496
3.86 -109.878 -19.9777 0.41367
3.87 -109.875 -19.9773 0.422007
3.88 -109.873 -19.9768 0.430513
3.89 -109.87 -19.9764 0.439189
3.9 -109.867 -19.9759 0.44804
3.91 -109.865 -19.9754 0.457069
3.92 -109.862 -19.9749 0.466279
3.93 -109.859 -19.9744 0.475674
3.94 -109.856 -19.9739 0.485259
3.95 -109.854 -19.9734 0.495035
3.96 -109.851 -19.9728 0.505008
3.97 -109.848 -19.9723 0.515182
3.98 -109.844 -19.9717 0.52556
3.99 -109.841 -19.9712 0.536146
4 -109.838 -19.9706 0.546945
4.01 -109.835 -19.97 0.557961
4.02 -109.832 -19.9694 0.569198
4.03 -109.828 -19.9688 0.580661
4.04 -109.825 -19.9681 0.592354
4.05 -109.821 -19.9675 0.604281
4.06 -109.818 -19.9668 0.616448
4.07 -109.814 -19.9662 0.628859
4.08 -109.81 -19.9655 0.641519
4.09 -109.806 -19.9648 0.654433
4.1 -109.802 -19.9641 0.667606
4.11 -109.798 -19.9633 0.681043
4.12 -109.794 -19.9626 0.694749
4.13 -109.79 -19.9618 0.70873
4.14 -109.786 -19.9611 0.722992
4.15 -109.782 -19.9603 0.737539
4.16 -109.777 -19.9595 0.752378
4.17 -109.773 -19.9587 0.767515
4.18 -109.768 -19.9578 0.782954
4.19 -109.763 -19.957 0.798703
4.2 -109.759 -19.9561 0.814767
4.21 -109.754 -19.9552 0.831153
4.22 -109.749 -19.9543 0.847866
4.23 -109.744 -19.9534 0.864915
4.24 -109.739 -19.9525 0.882304
4.25 -109.733 -19.9515 0.900041
4.26 -109.728 -19.9505 0.918133
4.27 -109.723 -19.9496 0.936587
4.28 -109.717 -19.9485 0.95541
4.29 -109.711 -19.9475 0.97461
4.3 -109.705 -19.9464 0.994193
4.31 -109.699 -19.9454 1.01417
4.32 -109.693 -19.9443 1.03454
4.33 -109.687 -19.9431 1.05532
4.34 -109.681 -19.942 1.07652
4.35 -109.675 -19.9408 1.09813
4.36 -109.668 -19.9396 1.12018
4.37 -109.661 -19.9384 1.14267
4.38 -109.654 -19.9372 1.16561
4.39 -109.648 -19.9359 1.18901
4.4 -109.64 -19.9346 1.21287
4.41 -109.633 -19.9333 1.23721
4.42 -109.626 -19.932 1.26203
4.43 -109.618 -19.9306 1.28735
4.44 -109.611 -19.9292 1.31317
4.45 -109.603 -19.9278 1.33951
4.46 -109.595 -19.9263 1.36637
4.47 -109.587 -19.9248 1.39376
4.48 -109.578 -19.9233 1.4217
4.49 -109.57 -19.9218 1.4502
4.5 -109.561 -19.9202 1.47926
4.51 -109.552 -19.9186 1.5089
4.52 -109.543 -19.917 1.53913
4.53 -109.534 -19.9153 1.56996
4.54 -109.525 -19.9136 1.6014
4.55 -109.515 -19.9118 1.63347
4.56 -109.505 -19.9101 1.66617
4.57 -109.495 -19.9083 1.69952
4.58 -109.485 -19.9064 1.73353
4.59 -109.475 -19.9045 1.76821
4.6 -109.464 -19.9026 1.80359
4.61 -109.454 -19.9007 1.83966
4.62 -109.443 -19.8987 1.87645
4.63 -109.431 -19.8966 1.91396
4.64 -109.42 -19.8946 1.95222
4.65 -109.408 -19.8924 1.99123
4.66 -109.397 -19.8903 2.03102
4.67 -109.384 -19.8881 2.07159
4.68 -109.372 -19.8858 2.11296
4.69 -109.359 -19.8835 2.15514
4.7 -109.347 -19.8812 2.19816
4.71 -109.333 -19.8788 2.24203
4.72 -109.32 -19.8764 2.28676
4.73 -109.306 -19.8739 2.33238
4.74 -109.292 -19.8714 2.37889
4.75 -109.278 -19.8688 2.42631
4.76 -109.264 -19.8661 2.47467
4.77 -109.249 -19.8635 2.52398
4.78 -109.234 -19.8607 2.57426
4.79 -109.219 -19.8579 2.62552
4.8 -109.203 -19.8551 2.67779
4.81 -109.187 -19.8522 2.73109
4.82 -109.171 -19.8492 2.78543
4.83 -109.154 -19.8462 2.84083
4.84 -109.137 -19.8431 2.89732
4.85 -109.12 -19.84 2.95492
4.86 -109.102 -19.8367 3.01363
4.87 -109.084 -19.8335 3.0735
4.88 -109.066 -19.8301 3.13453
4.89 -109.047 -19.8267 3.19676
4.9 -109.028 -19.8233 3.2602
4.91 -109.009 -19.8197 3.32487
4.92 -108.989 -19.8161 3.3908
4.93 -108.968 -19.8124 3.45802
4.94 -108.948 -19.8087 3.52654
4.95 -108.927 -19.8049 3.59639
4.96 -108.905 -19.801 3.66759
4.97 -108.883 -19.797 3.74018
4.98 -108.861 -19.7929 3.81417
4.99 -108.838 -19.7888 3.8896
5 -108.815 -19.7846 3.96648
5.01 -108.791 -19.7803 4.04485
5.02 -108.767 -19.7759 4.12473
5.03 -108.743 -19.7714 4.20615
5.04 -108.718 -19.7668 4.28913
5.05 -108.692 -19.7622 4.37372
5.06 -108.666 -19.7574 4.45993
5.07 -108.639 -19.7526 4.5478
5.08 -108.612 -19.7477 4.63735
5.09 -108.584 -19.7426 4.72862
5.1 -108.556 -19.7375 4.82164
5.11 -108.527 -19.7323 4.91644
5.12 -108.498 -19.7269 5.01304
5.13 -108.468 -19.7215 5.11149
5.14 -108.438 -19.7159 5.21182
5.15 -108.407 -19.7103 5.31406
5.16 -108.375 -19.7045 5.41824
5.17 -108.343 -19.6986 5.52439
5.18 -108.31 -19.6926 5.63256
5.19 -108.276 -19.6865 5.74278
5.2 -108.242 -19.6803 5.85509
5.21 -108.207 -19.674 5.96951
5.22 -108.171 -19.6675 6.08609
5.23 -108.135 -19.6609 6.20487
5.24 -108.098 -19.6541 6.32589
5.25 -108.06 -19.6473 6.44917
5.26 -108.022 -19.6403 6.57477
5.27 -107.982 -19.6331 6.70271
5.28 -107.942 -19.6259 6.83305
5.29 -107.902 -19.6185 6.96582
5.3 -107.86 -19.6109 7.10107
5.31 -107.818 -19.6032 7.23883
5.32 -107.774 -19.5953 7.37915
5.33 -107.73 -19.5873 7.52206
5.34 -107.685 -19.5792 7.66763
5.35 -107.64 -19.5709 7.81588
5.36 -107.593 -19.5624 7.96686
5.37 -107.546 -19.5537 8.12062
5.38 -107.497 -19.5449 8.2772
5.39 -107.448 -19.5359 8.43666
5.4 -107.397 -19.5268 8.59903
5.41 -107.346 -19.5175 8.76436
5.42 -107.294 -19.508 8.9327
5.43 -107.24 -19.4983 9.1041
5.44 -107.186 -19.4884 9.27861
5.45 -107.131 -19.4783 9.45627
5.46 -107.074 -19.4681 9.63714
5.47 -107.017 -19.4576 9.82127
5.48 -106.958 -19.447 10.0087
5.49 -106.899 -19.4361 10.1995
5.5 -106.838 -19.425 10.3937
5.51 -106.776 -19.4138 10.5914
5.52 -106.712 -19.4023 10.7925
5.53 -106.648 -19.3906 10.9973
5.54 -106.582 -19.3786 11.2056
5.55 -106.516 -19.3665 11.4177
5.56 -106.447 -19.3541 11.6334
5.57 -106.378 -19.3415 11.853
5.58 -106.307 -19.3286 12.0763
5.59 -106.235 -19.3155 12.3036
5.6 -106.162 -19.3022 12.5348
5.61 -106.087 -19.2886 12.77
5.62 -106.011 -19.2747 13.0093
5.63 -105.933 -19.2606 13.2527
5.64 -105.854 -19.2462 13.5002
5.65 -105.774 -19.2316 13.752
5.66 -105.692 -19.2167 14.008
5.67 -105.608 -19.2015 14.2684
5.68 -105.523 -19.186 14.5332
5.69 -105.436 -19.1703 14.8025
5.7 -105.348 -19.1542 15.0762
5.71 -105.258 -19.1379 15.3545
5.72 -105.167 -19.1212 15.6375
5.73 -105.073 -19.1042 15.9251
5.74 -104.978 -19.087 16.2174
5.75 -104.882 -19.0694 16.5146
5.76 -104.783 -19.0515 16.8166
5.77 -104.683 -19.0332 17.1235
5.78 -104.581 -19.0147 17.4353
5.79 -104.477 -18.9958 17.7522
5.8 -104.371 -18.9765 18.0741
5.81 -104.263 -18.9569 18.4012
5.82 -104.153 -18.937 18.7334
5.83 -104.042 -18.9167 19.0708
5.84 -103.928 -18.896 19.4136
5.85 -103.812 -18.8749 19.7617
5.86 -103.694 -18.8535 20.1151
5.87 -103.574 -18.8317 20.4741
5.88 -103.452 -18.8095 20.8384
5.89 -103.328 -18.7869 21.2084
5.9 -103.202 -18.7639 21.5839
5.91 -103.073 -18.7405 21.965
5.92 -102.942 -18.7167 22.3518
5.93 -102.809 -18.6925 22.7444
5.94 -102.673 -18.6678 23.1427
5.95 -102.535 -18.6428 23.5468
5.96 -102.395 -18.6172 23.9567
5.97 -102.252 -18.5913 24.3726
5.98 -102.107 -18.5648 24.7943
5.99 -101.959 -18.538 25.222
6 -101.809 -18.5106 25.6557
6.01 -101.656 -18.4828 26.0954
6.02 -101.5 -18.4546 26.5412
6.03 -101.342 -18.4258 26.993
6.04 -101.181 -18.3965 27.4509
6.05 -101.017 -18.3668 27.915
6.06 -100.851 -18.3365 28.3852
6.07 -100.682 -18.3058 28.8615
6.08 -100.51 -18.2745 29.344
6.09 -100.335 -18.2427 29.8327
6.1 -100.157 -18.2104 30.3277
6.11 -99.9765 -18.1775 30.8288
6.12 -99.7928 -18.1441 31.3361
6.13 -99.6061 -18.1102 31.8496
6.14 -99.4163 -18.0757 32.3693
6.15 -99.2234 -18.0406 32.8952
6.16 -99.0274 -18.005 33.4273
6.17 -98.8283 -17.9688 33.9655
6.18 -98.626 -17.932 34.5099
6.19 -98.4204 -17.8946 35.0604
6.2 -98.2115 -17.8566 35.6171
6.21 -97.9993 -17.8181 36.1798
6.22 -97.7838 -17.7789 36.7485
6.23 -97.565 -17.7391 37.3232
6.24 -97.3427 -17.6987 37.9039
6.25 -97.1169 -17.6576 38.4904
6.26 -96.8877 -17.6159 39.0828
6.27 -96.6549 -17.5736 39.681
6.28 -96.4186 -17.5307 40.2849
6.29 -96.1787 -17.487 40.8945
6.3 -95.9352 -17.4428 41.5096
6.31 -95.6881 -17.3978 42.1302
6.32 -95.4372 -17.3522 42.7563
6.33 -95.1827 -17.3059 43.3876
6.34 -94.9244 -17.259 44.0242
6.35 -94.6623 -17.2113 44.6658
6.36 -94.3964 -17.163 45.3125
6.37 -94.1267 -17.1139 45.9641
6.38 -93.8531 -17.0642 46.6204
6.39 -93.5756 -17.0137 47.2814
6.4 -93.2942 -16.9626 47.9469
6.41 -93.0088 -16.9107 48.6167
6.42 -92.7195 -16.8581 49.2907
6.43 -92.4262 -16.8048 49.9688
6.44 -92.1288 -16.7507 50.6508
6.45 -91.8275 -16.6959 51.3364
6.46 -91.522 -16.6404 52.0257
6.47 -91.2125 -16.5841 52.7183
6.48 -90.8989 -16.5271 53.414
6.49 -90.5811 -16.4693 54.1127
6.5 -90.2592 -16.4108 54.8142
6.51 -89.9332 -16.3515 55.5183
6.52 -89.603 -16.2915 56.2247
6.53 -89.2686 -16.2307 56.9331
6.54 -88.93 -16.1691 57.6435
6.55 -88.5872 -16.1068 58.3555
6.56 -88.2402 -16.0437 59.0689
6.57 -87.889 -15.9798 59.7834
6.58 -87.5336 -15.9152 60.4988
6.59 -87.1739 -15.8498 61.2147
6.6 -86.81 -15.7836 61.931
6.61 -86.4418 -15.7167 62.6474
6.62 -86.0695 -15.649 63.3635
6.63 -85.6929 -15.5805 64.079
6.64 -85.312 -15.5113 64.7938
6.65 -84.927 -15.4413 65.5073
6.66 -84.5377 -15.3705 66.2194
6.67 -84.1443 -15.299 66.9297
6.68 -83.7466 -15.2267 67.6379
6.69 -83.3448 -15.1536 68.3437
6.7 -82.9388 -15.0798 69.0467
6.71 -82.5286 -15.0052 69.7466
6.72 -82.1143 -14.9299 70.443
6.73 -81.696 -14.8538 71.1355
6.74 -81.2735 -14.777 71.824
6.75 -80.847 -14.6995 72.5078
6.76 -80.4164 -14.6212 73.1868
6.77 -79.9819 -14.5422 73.8606
6.78 -79.5434 -14.4624 74.5286
6.79 -79.101 -14.382 75.1907
6.8 -78.6546 -14.3008 75.8465
6.81 -78.2044 -14.219 76.4954
6.82 -77.7504 -14.1364 77.1373
