r Channel_1(Re) Channel_1(Im) Channel_2(Re) Channel_2(Im)
1.73 -0.192683 0.0746305 0.00278579 0.0219504
1.74 -0.196787 0.0795365 0.00292856 0.0220023
1.75 -0.200538 0.0842639 0.00306542 0.0220199
1.76 -0.203935 0.088808 0.00319625 0.0220032
1.77 -0.206975 0.0931641 0.00332094 0.0219529
1.78 -0.209659 0.0973282 0.00343941 0.0218693
1.79 -0.211986 0.101297 0.00355158 0.0217529
1.8 -0.213957 0.105066 0.00365737 0.0216042
1.81 -0.215573 0.108632 0.00375672 0.0214237
1.82 -0.216835 0.111994 0.00384958 0.0212121
1.83 -0.217746 0.115148 0.00393591 0.02097
1.84 -0.218309 0.118093 0.00401567 0.020698
1.85 -0.218526 0.120827 0.00408883 0.0203968
1.86 -0.2184 0.123348 0.0041554 0.0200671
1.87 -0.217936 0.125656 0.00421535 0.0197098
1.88 -0.217139 0.12775 0.00426869 0.0193255
1.89 -0.216012 0.129629 0.00431543 0.018915
1.9 -0.214562 0.131294 0.0043556 0.0184793
1.91 -0.212793 0.132745 0.00438921 0.0180192
1.92 -0.210713 0.133983 0.00441632 0.0175354
1.93 -0.208327 0.135008 0.00443696 0.017029
1.94 -0.205642 0.135821 0.00445118 0.0165008
1.95 -0.202665 0.136424 0.00445904 0.0159518
1.96 -0.199403 0.136819 0.00446061 0.0153829
1.97 -0.195865 0.137008 0.00445597 0.014795
1.98 -0.192058 0.136992 0.00444519 0.0141892
1.99 -0.18799 0.136775 0.00442836 0.0135665
2 -0.18367 0.136359 0.00440558 0.0129277
2.01 -0.179107 0.135747 0.00437694 0.012274
2.02 -0.174309 0.134942 0.00434255 0.0116063
2.03 -0.169285 0.133948 0.00430252 0.0109256
2.04 -0.164046 0.132768 0.00425698 0.010233
2.05 -0.1586 0.131407 0.00420604 0.00952948
2.06 -0.152957 0.129867 0.00414982 0.00881607
2.07 -0.147127 0.128154 0.00408847 0.0080938
2.08 -0.141119 0.126272 0.00402211 0.00736369
2.09 -0.134945 0.124224 0.00395089 0.00662676
2.1 -0.128613 0.122017 0.00387496 0.00588403
2.11 -0.122134 0.119654 0.00379445 0.00513651
2.12 -0.115519 0.117141 0.00370953 0.00438521
2.13 -0.108777 0.114482 0.00362036 0.00363114
2.14 -0.101919 0.111684 0.00352708 0.00287528
2.15 -0.0949557 0.10875 0.00342986 0.00211862
2.16 -0.0878968 0.105687 0.00332887 0.00136214
2.17 -0.080753 0.102501 0.00322427 0.000606801
2.18 -0.0735347 0.0991957 0.00311623 -0.000146445
2.19 -0.066252 0.0957781 0.00300492 -0.000896659
2.2 -0.0589154 0.0922536 0.00289052 -0.00164292
2.21 -0.0515349 0.0886281 0.0027732 -0.0023843
2.22 -0.0441209 0.0849073 0.00265314 -0.00311993
2.23 -0.0366832 0.0810971 0.0025305 -0.00384891
2.24 -0.0292321 0.0772035 0.00240548 -0.00457039
2.25 -0.0217772 0.0732324 0.00227824 -0.00528352
2.26 -0.0143284 0.0691898 0.00214897 -0.00598748
2.27 -0.00689526 0.0650817 0.00201785 -0.00668146
2.28 0.000512599 0.060914 0.00188504 -0.00736468
2.29 0.00788586 0.0566927 0.00175075 -0.00803638
2.3 0.0152153 0.0524238 0.00161513 -0.0086958
2.31 0.0224919 0.0481133 0.00147837 -0.00934222
2.32 0.0297067 0.0437671 0.00134065 -0.00997496
2.33 0.036851 0.039391 0.00120214 -0.0105933
2.34 0.0439163 0.034991 0.00106302 -0.0111967
2.35 0.0508943 0.0305729 0.000923453 -0.0117844
2.36 0.0577768 0.0261423 0.000783624 -0.0123558
2.37 0.064556 0.0217052 0.000643699 -0.0129104
2.38 0.071224 0.017267 0.000503847 -0.0134476
2.39 0.0777734 0.0128333 0.000364234 -0.0139669
2.4 0.084197 0.00840975 0.000225025 -0.0144677
2.41 0.0904877 0.00400169 8.63822e-05 -0.0149496
2.42 0.0966387 -0.000385523 -5.15333e-05 -0.0154122
2.43 0.102643 -0.00474663 -0.000188565 -0.015855
2.44 0.108496 -0.00907647 -0.000324557 -0.0162776
2.45 0.114189 -0.01337 -0.000459358 -0.0166796
2.46 0.119718 -0.0176222 -0.000592818 -0.0170607
2.47 0.125077 -0.0218283 -0.000724793 -0.0174206
2.48 0.130261 -0.0259834 -0.000855138 -0.0177589
2.49 0.135265 -0.0300831 -0.000983715 -0.0180754
2.5 0.140083 -0.0341227 -0.00111039 -0.0183699
2.51 0.144712 -0.0380979 -0.00123502 -0.0186421
2.52 0.149146 -0.0420044 -0.00135749 -0.0188918
2.53 0.153383 -0.0458381 -0.00147767 -0.0191189
2.54 0.157419 -0.0495949 -0.00159543 -0.0193233
2.55 0.16125 -0.0532711 -0.00171066 -0.0195048
2.56 0.164872 -0.0568628 -0.00182325 -0.0196634
2.57 0.168283 -0.0603664 -0.00193308 -0.0197989
2.58 0.171481 -0.0637786 -0.00204005 -0.0199114
2.59 0.174463 -0.067096 -0.00214406 -0.0200009
2.6 0.177227 -0.0703154 -0.00224501 -0.0200673
2.61 0.179771 -0.0734337 -0.00234281 -0.0201107
2.62 0.182093 -0.0764482 -0.00243737 -0.0201311
2.63 0.184193 -0.0793561 -0.0025286 -0.0201287
2.64 0.186069 -0.0821548 -0.00261643 -0.0201036
2.65 0.187721 -0.0848419 -0.00270077 -0.0200559
2.66 0.189148 -0.0874151 -0.00278157 -0.0199857
2.67 0.19035 -0.0898723 -0.00285874 -0.0198933
2.68 0.191326 -0.0922114 -0.00293223 -0.0197788
2.69 0.192078 -0.0944308 -0.00300199 -0.0196425
2.7 0.192605 -0.0965287 -0.00306795 -0.0194845
2.71 0.192909 -0.0985035 -0.00313007 -0.0193053
2.72 0.19299 -0.100354 -0.0031883 -0.019105
2.73 0.19285 -0.102079 -0.00324261 -0.0188841
2.74 0.19249 -0.103677 -0.00329296 -0.0186427
2.75 0.191911 -0.105148 -0.00333932 -0.0183812
2.76 0.191117 -0.10649 -0.00338166 -0.0181001
2.77 0.190108 -0.107704 -0.00341996 -0.0177996
2.78 0.188888 -0.108787 -0.00345421 -0.0174802
2.79 0.187458 -0.109742 -0.00348438 -0.0171424
2.8 0.185822 -0.110566 -0.00351048 -0.0167864
2.81 0.183982 -0.11126 -0.0035325 -0.0164128
2.82 0.181943 -0.111825 -0.00355043 -0.0160221
2.83 0.179706 -0.11226 -0.00356429 -0.0156147
2.84 0.177276 -0.112565 -0.00357408 -0.0151911
2.85 0.174656 -0.112742 -0.00357982 -0.0147518
2.86 0.171851 -0.112791 -0.00358151 -0.0142973
2.87 0.168864 -0.112713 -0.00357919 -0.0138281
2.88 0.165699 -0.112508 -0.00357287 -0.0133448
2.89 0.162361 -0.112178 -0.00356259 -0.012848
2.9 0.158855 -0.111724 -0.00354838 -0.0123382
2.91 0.155184 -0.111147 -0.00353028 -0.0118159
2.92 0.151355 -0.110448 -0.00350832 -0.0112817
2.93 0.147371 -0.109629 -0.00348255 -0.0107363
2.94 0.143238 -0.108692 -0.00345302 -0.0101802
2.95 0.138961 -0.107639 -0.00341978 -0.00961394
2.96 0.134545 -0.106471 -0.00338288 -0.00903824
2.97 0.129996 -0.10519 -0.00334239 -0.00845367
2.98 0.125319 -0.103798 -0.00329836 -0.00786084
2.99 0.120519 -0.102297 -0.00325085 -0.00726038
3 0.115603 -0.100691 -0.00319994 -0.00665291
3.01 0.110576 -0.0989801 -0.0031457 -0.00603905
3.02 0.105444 -0.0971678 -0.0030882 -0.00541945
3.03 0.100212 -0.0952565 -0.00302751 -0.00479472
3.04 0.0948872 -0.0932488 -0.00296372 -0.00416551
3.05 0.0894749 -0.0911472 -0.0028969 -0.00353245
3.06 0.0839812 -0.0889546 -0.00282715 -0.00289617
3.07 0.0784122 -0.0866739 -0.00275454 -0.00225731
3.08 0.0727739 -0.0843077 -0.00267917 -0.0016165
3.09 0.0670726 -0.0818592 -0.00260113 -0.000974371
3.1 0.0613143 -0.0793314 -0.0025205 -0.000331559
3.11 0.0555052 -0.0767272 -0.0024374 0.000311313
3.12 0.0496515 -0.0740499 -0.00235191 0.00095362
3.13 0.0437593 -0.0713026 -0.00226413 0.00159474
3.14 0.0378347 -0.0684886 -0.00217417 0.00223406
3.15 0.0318841 -0.065611 -0.00208212 0.00287097
3.16 0.0259134 -0.0626732 -0.0019881 0.00350486
3.17 0.0199288 -0.0596785 -0.0018922 0.00413513
3.18 0.0139363 -0.0566304 -0.00179453 0.00476119
3.19 0.00794217 -0.0535321 -0.00169521 0.00538245
3.2 0.00195225 -0.0503872 -0.00159433 0.00599834
3.21 -0.00402742 -0.0471991 -0.00149202 0.00660827
3.22 -0.00999094 -0.0439712 -0.00138837 0.00721168
3.23 -0.0159324 -0.040707 -0.00128351 0.00780803
3.24 -0.021846 -0.0374101 -0.00117753 0.00839676
3.25 -0.0277261 -0.0340838 -0.00107057 0.00897734
3.26 -0.0335668 -0.0307318 -0.000962725 0.00954924
3.27 -0.0393627 -0.0273575 -0.000854112 0.0101119
3.28 -0.0451081 -0.0239645 -0.000744846 0.0106649
3.29 -0.0507977 -0.0205561 -0.00063504 0.0112077
3.3 -0.0564261 -0.017136 -0.000524807 0.0117399
3.31 -0.061988 -0.0137075 -0.000414261 0.0122608
3.32 -0.0674782 -0.0102742 -0.000303516 0.0127702
3.33 -0.0728917 -0.00683949 -0.000192685 0.0132675
3.34 -0.0782235 -0.00340678 -8.18792e-05 0.0137523
3.35 -0.0834687 2.05108e-05 2.8788e-05 0.0142242
3.36 -0.0886227 0.00343902 0.000139205 0.0146827
3.37 -0.0936807 0.00684542 0.000249262 0.0151276
3.38 -0.0986382 0.0102364 0.000358849 0.0155583
3.39 -0.103491 0.0136086 0.000467856 0.0159746
3.4 -0.108234 0.016959 0.000576175 0.016376
3.41 -0.112865 0.0202842 0.0006837 0.0167623
3.42 -0.117378 0.0235811 0.000790324 0.0171331
3.43 -0.121769 0.0268467 0.000895943 0.0174881
3.44 -0.126036 0.0300778 0.00100045 0.0178271
3.45 -0.130175 0.0332715 0.00110376 0.0181496
3.46 -0.134181 0.0364249 0.00120575 0.0184555
3.47 -0.138052 0.0395349 0.00130633 0.0187446
3.48 -0.141785 0.0425989 0.00140541 0.0190165
3.49 -0.145376 0.0456139 0.00150288 0.0192711
3.5 -0.148822 0.0485774 0.00159866 0.0195082
3.51 -0.152122 0.0514867 0.00169266 0.0197275
3.52 -0.155271 0.0543391 0.00178478 0.019929
3.53 -0.158268 0.0571321 0.00187494 0.0201124
3.54 -0.161111 0.0598634 0.00196305 0.0202776
3.55 -0.163797 0.0625306 0.00204903 0.0204245
3.56 -0.166325 0.0651312 0.0021328 0.0205531
3.57 -0.168692 0.0676632 0.00221429 0.0206631
3.58 -0.170897 0.0701244 0.0022934 0.0207545
3.59 -0.172938 0.0725126 0.00237008 0.0208274
3.6 -0.174815 0.074826 0.00244425 0.0208815
3.61 -0.176525 0.0770625 0.00251583 0.0209169
3.62 -0.178067 0.0792203 0.00258478 0.0209337
3.63 -0.179442 0.0812978 0.00265101 0.0209317
3.64 -0.180648 0.0832931 0.00271448 0.020911
3.65 -0.181684 0.0852048 0.00277512 0.0208717
3.66 -0.18255 0.0870313 0.00283288 0.0208138
3.67 -0.183246 0.0887713 0.00288771 0.0207374
3.68 -0.183772 0.0904233 0.00293956 0.0206425
3.69 -0.184128 0.0919862 0.00298837 0.0205292
3.7 -0.184313 0.0934587 0.00303412 0.0203977
3.71 -0.184329 0.0948399 0.00307675 0.0202481
3.72 -0.184176 0.0961286 0.00311623 0.0200805
3.73 -0.183853 0.0973241 0.00315252 0.0198951
3.74 -0.183363 0.0984256 0.0031856 0.019692
3.75 -0.182706 0.0994322 0.00321544 0.0194715
3.76 -0.181883 0.100343 0.003242 0.0192337
3.77 -0.180896 0.101159 0.00326528 0.0189789
3.78 -0.179745 0.101878 0.00328524 0.0187072
3.79 -0.178432 0.1025 0.00330187 0.0184189
3.8 -0.176959 0.103025 0.00331516 0.0181142
3.81 -0.175328 0.103452 0.00332511 0.0177935
3.82 -0.17354 0.103783 0.00333169 0.0174569
3.83 -0.171597 0.104016 0.00333492 0.0171049
3.84 -0.169502 0.104152 0.00333478 0.0167376
3.85 -0.167256 0.10419 0.00333129 0.0163553
3.86 -0.164863 0.104132 0.00332445 0.0159585
3.87 -0.162325 0.103977 0.00331426 0.0155474
3.88 -0.159643 0.103726 0.00330074 0.0151224
3.89 -0.156822 0.10338 0.0032839 0.0146838
3.9 -0.153863 0.102938 0.00326376 0.014232
3.91 -0.150771 0.102402 0.00324035 0.0137673
3.92 -0.147547 0.101772 0.00321369 0.0132902
3.93 -0.144195 0.101049 0.0031838 0.0128011
3.94 -0.140718 0.100235 0.00315071 0.0123002
3.95 -0.137119 0.0993287 0.00311446 0.0117881
3.96 -0.133403 0.098333 0.00307509 0.0112652
3.97 -0.129571 0.0972483 0.00303263 0.0107318
3.98 -0.125629 0.096076 0.00298712 0.0101884
3.99 -0.12158 0.0948172 0.00293861 0.00963546
4 -0.117427 0.0934734 0.00288715 0.00907341
4.01 -0.113174 0.0920458 0.00283279 0.00850268
4.02 -0.108825 0.090536 0.00277557 0.00792375
4.03 -0.104385 0.0889455 0.00271556 0.00733706
4.04 -0.0998561 0.0872758 0.00265281 0.00674308
4.05 -0.0952438 0.0855287 0.00258738 0.00614229
4.06 -0.0905517 0.0837059 0.00251935 0.00553515
4.07 -0.0857842 0.0818091 0.00244876 0.00492215
4.08 -0.0809454 0.0798401 0.00237569 0.00430376
4.09 -0.0760396 0.0778008 0.00230021 0.00368048
4.1 -0.0710712 0.0756933 0.0022224 0.00305279
4.11 -0.0660444 0.0735194 0.00214232 0.00242118
4.12 -0.0609636 0.0712812 0.00206005 0.00178615
4.13 -0.0558334 0.0689807 0.00197568 0.00114818
4.14 -0.050658 0.0666202 0.00188929 0.00050778
4.15 -0.0454421 0.0642018 0.00180095 -0.000134562
4.16 -0.04019 0.0617277 0.00171075 -0.000778345
4.17 -0.0349063 0.0592001 0.00161878 -0.00142307
4.18 -0.0295955 0.0566214 0.00152513 -0.00206825
4.19 -0.024262 0.0539938 0.00142989 -0.00271337
4.2 -0.0189105 0.0513198 0.00133315 -0.00335794
4.21 -0.0135454 0.0486017 0.001235 -0.00400148
4.22 -0.00817119 0.045842 0.00113554 -0.00464348
4.23 -0.00279247 0.043043 0.00103486 -0.00528345
4.24 0.00258631 0.0402074 0.000933069 -0.0059209
4.25 0.00796065 0.0373375 0.000830256 -0.00655535
4.26 0.0133261 0.0344359 0.000726524 -0.00718631
4.27 0.0186782 0.0315051 0.000621974 -0.0078133
4.28 0.0240126 0.0285477 0.000516709 -0.00843585
4.29 0.0293248 0.0255662 0.000410831 -0.00905348
4.3 0.0346105 0.0225633 0.000304445 -0.00966572
4.31 0.0398653 0.0195415 0.000197655 -0.0102721
4.32 0.0450851 0.0165033 9.05676e-05 -0.0108722
4.33 0.0502655 0.0134515 -1.67124e-05 -0.0114655
4.34 0.0554023 0.0103887 -0.000124078 -0.0120516
4.35 0.0604914 0.00731732 -0.000231422 -0.01263
4.36 0.0655286 0.00424013 -0.000338637 -0.0132003
4.37 0.07051 0.00115969 -0.000445616 -0.0137621
4.38 0.0754315 -0.0019214 -0.000552251 -0.014315
4.39 0.0802892 -0.00500053 -0.000658434 -0.0148585
4.4 0.0850793 -0.00807512 -0.000764056 -0.0153922
4.41 0.0897978 -0.0111426 -0.000869011 -0.0159157
4.42 0.0944412 -0.0142004 -0.000973191 -0.0164286
4.43 0.0990056 -0.0172459 -0.00107649 -0.0169306
4.44 0.103488 -0.0202767 -0.00117879 -0.0174212
4.45 0.107884 -0.0232901 -0.00128001 -0.0179001
4.46 0.11219 -0.0262838 -0.00138001 -0.018367
4.47 0.116404 -0.0292552 -0.00147871 -0.0188214
4.48 0.120521 -0.0322019 -0.001576 -0.019263
4.49 0.12454 -0.0351215 -0.00167177 -0.0196915
4.5 0.128456 -0.0380115 -0.00176592 -0.0201066
4.51 0.132266 -0.0408696 -0.00185835 -0.020508
4.52 0.135968 -0.0436935 -0.00194895 -0.0208953
4.53 0.139559 -0.0464808 -0.00203763 -0.0212682
4.54 0.143037 -0.0492292 -0.00212429 -0.0216265
4.55 0.146397 -0.0519366 -0.00220883 -0.0219699
4.56 0.149638 -0.0546008 -0.00229115 -0.0222981
4.57 0.152758 -0.0572195 -0.00237116 -0.0226109
4.58 0.155754 -0.0597907 -0.00244877 -0.022908
4.59 0.158624 -0.0623123 -0.00252388 -0.0231892
4.6 0.161366 -0.0647822 -0.00259641 -0.0234543
4.61 0.163977 -0.0671986 -0.00266626 -0.0237031
4.62 0.166456 -0.0695593 -0.00273335 -0.0239353
