r, Channel 1, Channel 2
2.91, 0.0140649, -0.000693318
2.92, 0.0167197, -0.000202427
2.93, 0.0193518, 0.000288565
2.94, 0.0219581, 0.000779066
2.95, 0.0245355, 0.00126849
2.96, 0.0270811, 0.00175625
2.97, 0.0295921, 0.00224177
2.98, 0.0320654, 0.00272449
2.99, 0.0344985, 0.00320383
3, 0.0368884, 0.00367925
3.01, 0.0392327, 0.00415019
3.02, 0.0415287, 0.00461612
3.03, 0.0437738, 0.00507651
3.04, 0.0459658, 0.00553083
3.05, 0.0481023, 0.00597859
3.06, 0.0501809, 0.00641927
3.07, 0.0521995, 0.0068524
3.08, 0.0541559, 0.0072775
3.09, 0.0560483, 0.00769409
3.1, 0.0578746, 0.00810175
3.11, 0.059633, 0.00850001
3.12, 0.0613218, 0.00888847
3.13, 0.0629392, 0.0092667
3.14, 0.0644837, 0.00963432
3.15, 0.0659539, 0.00999093
3.16, 0.0673483, 0.0103362
3.17, 0.0686657, 0.0106697
3.18, 0.0699048, 0.0109912
3.19, 0.0710646, 0.0113002
3.2, 0.072144, 0.0115966
3.21, 0.0731421, 0.01188
3.22, 0.0740581, 0.0121501
3.23, 0.0748913, 0.0124067
3.24, 0.0756411, 0.0126496
3.25, 0.0763068, 0.0128784
3.26, 0.0768881, 0.0130931
3.27, 0.0773846, 0.0132933
3.28, 0.0777961, 0.013479
3.29, 0.0781223, 0.01365
3.3, 0.0783633, 0.013806
3.31, 0.078519, 0.0139471
3.32, 0.0785896, 0.014073
3.33, 0.0785753, 0.0141837
3.34, 0.0784763, 0.0142791
3.35, 0.0782931, 0.0143592
3.36, 0.0780261, 0.0144238
3.37, 0.0776758, 0.0144731
3.38, 0.0772429, 0.0145069
3.39, 0.0767281, 0.0145252
3.4, 0.0761322, 0.0145281
3.41, 0.0754561, 0.0145157
3.42, 0.0747007, 0.0144879
3.43, 0.0738671, 0.0144448
3.44, 0.0729563, 0.0143866
3.45, 0.0719696, 0.0143133
3.46, 0.0709082, 0.0142249
3.47, 0.0697734, 0.0141218
3.48, 0.0685667, 0.0140039
3.49, 0.0672894, 0.0138715
3.5, 0.065943, 0.0137247
3.51, 0.0645292, 0.0135637
3.52, 0.0630496, 0.0133887
3.53, 0.0615058, 0.0131999
3.54, 0.0598997, 0.0129975
3.55, 0.058233, 0.0127818
3.56, 0.0565075, 0.012553
3.57, 0.0547253, 0.0123113
3.58, 0.0528881, 0.0120571
3.59, 0.050998, 0.0117906
3.6, 0.0490571, 0.0115121
