r, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5
50.87, -0.664093, -0.194405, -0.363743, -0.66483, -0.0998337
50.88, -0.663994, -0.20034, -0.367687, -0.664548, -0.0996875
50.89, -0.663809, -0.206249, -0.371583, -0.664178, -0.0995282
50.9, -0.663536, -0.21213, -0.375431, -0.66372, -0.0993558
50.91, -0.663178, -0.217983, -0.379228, -0.663176, -0.0991704
50.92, -0.662733, -0.223806, -0.382976, -0.662545, -0.0989721
50.93, -0.662201, -0.229601, -0.386674, -0.661827, -0.0987609
50.94, -0.661584, -0.235365, -0.390322, -0.661022, -0.0985368
50.95, -0.66088, -0.241098, -0.393918, -0.660131, -0.0982998
50.96, -0.660089, -0.246799, -0.397463, -0.659155, -0.09805
50.97, -0.659213, -0.252468, -0.400956, -0.658092, -0.0977875
50.98, -0.658251, -0.258104, -0.404397, -0.656943, -0.0975123
50.99, -0.657202, -0.263707, -0.407785, -0.655709, -0.0972245
51, -0.656068, -0.269276, -0.411121, -0.65439, -0.096924
51.01, -0.654849, -0.274809, -0.414403, -0.652986, -0.096611
51.02, -0.653544, -0.280307, -0.417631, -0.651498, -0.0962855
51.03, -0.652153, -0.285769, -0.420806, -0.649925, -0.0959475
51.04, -0.650678, -0.291195, -0.423926, -0.648268, -0.0955972
51.05, -0.649117, -0.296583, -0.426991, -0.646527, -0.0952345
51.06, -0.647472, -0.301933, -0.430001, -0.644703, -0.0948596
51.07, -0.645742, -0.307244, -0.432956, -0.642796, -0.0944725
51.08, -0.643927, -0.312516, -0.435856, -0.640806, -0.0940732
51.09, -0.642029, -0.317749, -0.438699, -0.638734, -0.0936619
51.1, -0.640046, -0.322941, -0.441486, -0.636579, -0.0932385
51.11, -0.63798, -0.328092, -0.444216, -0.634343, -0.0928032
51.12, -0.635831, -0.333201, -0.44689, -0.632026, -0.092356
51.13, -0.633598, -0.338268, -0.449506, -0.629628, -0.0918971
51.14, -0.631283, -0.343293, -0.452065, -0.627149, -0.0914264
51.15, -0.628884, -0.348274, -0.454566, -0.62459, -0.090944
51.16, -0.626404, -0.353211, -0.457009, -0.621952, -0.0904501
51.17, -0.623842, -0.358104, -0.459394, -0.619234, -0.0899446
51.18, -0.621198, -0.362952, -0.461721, -0.616438, -0.0894278
51.19, -0.618473, -0.367754, -0.463988, -0.613563, -0.0888995
51.2, -0.615667, -0.37251, -0.466197, -0.61061, -0.08836
51.21, -0.61278, -0.37722, -0.468346, -0.60758, -0.0878093
51.22, -0.609813, -0.381882, -0.470436, -0.604473, -0.0872475
51.23, -0.606766, -0.386496, -0.472466, -0.601289, -0.0866747
51.24, -0.60364, -0.391062, -0.474437, -0.59803, -0.086091
51.25, -0.600434, -0.395579, -0.476347, -0.594694, -0.0854964
51.26, -0.59715, -0.400047, -0.478197, -0.591284, -0.084891
51.27, -0.593788, -0.404465, -0.479987, -0.587799, -0.0842749
51.28, -0.590348, -0.408833, -0.481715, -0.584241, -0.0836483
51.29, -0.586831, -0.41315, -0.483383, -0.580609, -0.0830111
51.3, -0.583236, -0.417415, -0.48499, -0.576904, -0.0823636
51.31, -0.579565, -0.421629, -0.486536, -0.573126, -0.0817057
51.32, -0.575819, -0.42579, -0.488021, -0.569277, -0.0810376
51.33, -0.571996, -0.429898, -0.489444, -0.565357, -0.0803594
51.34, -0.568099, -0.433953, -0.490805, -0.561365, -0.0796711
51.35, -0.564127, -0.437954, -0.492104, -0.557304, -0.0789729
51.36, -0.560081, -0.4419, -0.493342, -0.553173, -0.0782649
51.37, -0.555962, -0.445792, -0.494517, -0.548973, -0.0775471
51.38, -0.55177, -0.449629, -0.495631, -0.544705, -0.0768197
51.39, -0.547505, -0.453409, -0.496682, -0.540369, -0.0760828
51.4, -0.543169, -0.457134, -0.49767, -0.535966, -0.0753364
51.41, -0.538761, -0.460802, -0.498597, -0.531496, -0.0745807
51.42, -0.534282, -0.464413, -0.49946, -0.526961, -0.0738157
51.43, -0.529734, -0.467966, -0.500261, -0.52236, -0.0730416
51.44, -0.525115, -0.471462, -0.500999, -0.517694, -0.0722585
51.45, -0.520428, -0.474899, -0.501674, -0.512964, -0.0714665
51.46, -0.515673, -0.478277, -0.502286, -0.508171, -0.0706657
51.47, -0.51085, -0.481596, -0.502836, -0.503315, -0.0698561
51.48, -0.505959, -0.484855, -0.503322, -0.498397, -0.069038
51.49, -0.501002, -0.488054, -0.503745, -0.493417, -0.0682113
51.5, -0.49598, -0.491193, -0.504105, -0.488377, -0.0673763
51.51, -0.490892, -0.494271, -0.504402, -0.483276, -0.066533
51.52, -0.48574, -0.497288, -0.504635, -0.478116, -0.0656816
51.53, -0.480523, -0.500243, -0.504806, -0.472897, -0.064822
51.54, -0.475244, -0.503136, -0.504913, -0.46762, -0.0639546
51.55, -0.469902, -0.505966, -0.504956, -0.462286, -0.0630793
51.56, -0.464499, -0.508734, -0.504937, -0.456894, -0.0621963
51.57, -0.459034, -0.511438, -0.504854, -0.451447, -0.0613058
51.58, -0.453509, -0.514079, -0.504708, -0.445944, -0.0604077
51.59, -0.447925, -0.516657, -0.504498, -0.440387, -0.0595022
51.6, -0.442281, -0.51917, -0.504225, -0.434776, -0.0585895
51.61, -0.43658, -0.521618, -0.503889, -0.429112, -0.0576697
51.62, -0.430821, -0.524001, -0.50349, -0.423395, -0.0567428
51.63, -0.425005, -0.52632, -0.503028, -0.417626, -0.0558091
51.64, -0.419133, -0.528572, -0.502502, -0.411806, -0.0548685
51.65, -0.413207, -0.530759, -0.501913, -0.405936, -0.0539213
51.66, -0.407226, -0.53288, -0.501262, -0.400016, -0.0529675
51.67, -0.401191, -0.534934, -0.500547, -0.394047, -0.0520073
51.68, -0.395104, -0.536921, -0.499769, -0.38803, -0.0510407
51.69, -0.388964, -0.538841, -0.498929, -0.381966, -0.050068
51.7, -0.382774, -0.540694, -0.498025, -0.375855, -0.0490892
51.71, -0.376533, -0.542479, -0.497059, -0.369698, -0.0481044
51.72, -0.370243, -0.544196, -0.49603, -0.363496, -0.0471138
51.73, -0.363903, -0.545845, -0.494939, -0.35725, -0.0461175
51.74, -0.357516, -0.547425, -0.493786, -0.35096, -0.0451156
51.75, -0.351082, -0.548937, -0.49257, -0.344627, -0.0441082
51.76, -0.344602, -0.550379, -0.491292, -0.338252, -0.0430955
51.77, -0.338077, -0.551753, -0.489951, -0.331835, -0.0420775
51.78, -0.331507, -0.553057, -0.488549, -0.325379, -0.0410545
51.79, -0.324893, -0.554291, -0.487086, -0.318882, -0.0400265
51.8, -0.318237, -0.555455, -0.48556, -0.312346, -0.0389936
51.81, -0.311539, -0.556549, -0.483973, -0.305772, -0.037956
51.82, -0.3048, -0.557572, -0.482324, -0.29916, -0.0369137
