r, Channel 1
8.57, 0.75455
8.58, 0.757602
8.59, 0.760638
8.6, 0.763657
8.61, 0.766659
8.62, 0.769645
8.63, 0.772614
8.64, 0.775566
8.65, 0.778501
8.66, 0.78142
8.67, 0.784321
8.68, 0.787206
8.69, 0.790073
8.7, 0.792923
8.71, 0.795756
8.72, 0.798571
8.73, 0.801369
8.74, 0.80415
8.75, 0.806913
8.76, 0.809659
8.77, 0.812387
8.78, 0.815098
8.79, 0.81779
8.8, 0.820465
8.81, 0.823122
8.82, 0.825761
8.83, 0.828382
8.84, 0.830986
8.85, 0.833571
8.86, 0.836138
8.87, 0.838686
8.88, 0.841217
8.89, 0.843729
8.9, 0.846223
8.91, 0.848699
8.92, 0.851156
8.93, 0.853594
8.94, 0.856014
8.95, 0.858416
8.96, 0.860798
8.97, 0.863162
8.98, 0.865507
8.99, 0.867834
9, 0.870141
9.01, 0.87243
9.02, 0.874699
9.03, 0.87695
9.04, 0.879182
9.05, 0.881394
9.06, 0.883587
9.07, 0.885761
9.08, 0.887916
9.09, 0.890051
9.1, 0.892167
9.11, 0.894264
9.12, 0.896341
9.13, 0.898399
9.14, 0.900437
9.15, 0.902456
9.16, 0.904455
9.17, 0.906434
9.18, 0.908394
9.19, 0.910334
9.2, 0.912254
9.21, 0.914154
9.22, 0.916034
9.23, 0.917895
9.24, 0.919735
9.25, 0.921555
9.26, 0.923356
9.27, 0.925136
9.28, 0.926896
9.29, 0.928636
9.3, 0.930356
9.31, 0.932056
9.32, 0.933735
9.33, 0.935394
9.34, 0.937033
9.35, 0.938651
9.36, 0.940249
9.37, 0.941826
9.38, 0.943383
9.39, 0.94492
9.4, 0.946436
9.41, 0.947931
9.42, 0.949406
9.43, 0.95086
9.44, 0.952293
9.45, 0.953706
9.46, 0.955098
9.47, 0.956469
9.48, 0.957819
9.49, 0.959149
9.5, 0.960458
9.51, 0.961745
9.52, 0.963012
9.53, 0.964258
9.54, 0.965483
9.55, 0.966687
9.56, 0.96787
9.57, 0.969032
9.58, 0.970173
