r Channel_1(Re) Channel_1(Im) Channel_1(abs) Channel_2(Re) Channel_2(Im) Channel_2(abs)
17.4 -1.02968 0.478856 1.13558 0.0741303 -0.872551 0.875694
17.5 -0.838631 0.513624 0.983419 0.200275 -0.852461 0.875671
17.6 -0.624096 0.534009 0.821378 0.322159 -0.814232 0.875649
17.7 -0.392083 0.53944 0.666877 0.437187 -0.758676 0.875626
17.8 -0.149091 0.529764 0.550344 0.54291 -0.686973 0.875604
17.9 0.0980763 0.505253 0.514684 0.637077 -0.600648 0.875583
18 0.342497 0.466594 0.578804 0.717683 -0.501537 0.875562
18.1 0.577327 0.414868 0.71093 0.78301 -0.391748 0.875541
18.2 0.795989 0.351524 0.870154 0.831666 -0.273619 0.87552
18.3 0.992361 0.278336 1.03066 0.862613 -0.149664 0.8755
18.4 1.16094 0.197354 1.1776 0.87519 -0.0225215 0.87548
18.5 1.29702 0.110846 1.30174 0.869129 0.1051 0.875461
18.6 1.39677 0.0212329 1.39693 0.844556 0.230484 0.875441
18.7 1.4574 -0.0689745 1.45903 0.801993 0.350958 0.875423
18.8 1.47723 -0.15725 1.48557 0.742346 0.463955 0.875404
18.9 1.45568 -0.241123 1.47552 0.666884 0.567068 0.875386
19 1.39338 -0.318242 1.42926 0.577212 0.658099 0.875368
19.1 1.29205 -0.386451 1.3486 0.475242 0.735107 0.87535
19.2 1.15454 -0.443837 1.23691 0.363144 0.79645 0.875332
19.3 0.984699 -0.488794 1.09934 0.243307 0.84082 0.875315
19.4 0.787284 -0.520063 0.943547 0.118285 0.867269 0.875298
19.5 0.567822 -0.536768 0.781372 -0.00925895 0.875233 0.875282
19.6 0.332459 -0.538443 0.632811 -0.136605 0.864539 0.875265
19.7 0.087786 -0.525038 0.532327 -0.261039 0.835416 0.875249
19.8 -0.159345 -0.496931 0.521854 -0.379908 0.788482 0.875233
19.9 -0.402014 -0.454908 0.607089 -0.490677 0.724736 0.875218
20 -0.633426 -0.400147 0.74923 -0.590983 0.645537 0.875202
