r, Re(potential), Im(potential), Coupling
17.5, 0, 0, 1.07639e-275
17.6, 0, 0, 2.33013e-279
17.7, 0, 0, 4.77158e-283
17.8, 0, 0, 9.24306e-287
17.9, 0, 0, 1.69372e-290
18, 0, 0, 2.9359e-294
18.1, 0, 0, 4.81407e-298
18.2, 0, 0, 7.46717e-302
18.3, 0, 0, 1.09565e-305
18.4, 0, 0, 1.52076e-309
18.5, 0, 0, 1.99675e-313
18.6, 0, 0, 2.48003e-317
18.7, 0, 0, 2.91499e-321
18.8, 0, 0, 0
18.9, 0, 0, 0
19, 0, 0, 0
19.1, 0, 0, 0
19.2, 0, 0, 0
19.3, 0, 0, 0
19.4, 0, 0, 0
19.5, 0, 0, 0
19.6, 0, 0, 0
19.7, 0, 0, 0
19.8, 0, 0, 0
19.9, 0, 0, 0
