r, Channel 1
8.5, 0.437537
8.51, 0.442169
8.52, 0.446799
8.53, 0.451427
8.54, 0.456053
8.55, 0.460677
8.56, 0.465299
8.57, 0.469919
8.58, 0.474538
8.59, 0.479153
8.6, 0.483767
8.61, 0.488379
8.62, 0.492989
8.63, 0.497596
8.64, 0.502201
8.65, 0.506804
8.66, 0.511405
8.67, 0.516003
8.68, 0.5206
8.69, 0.525193
8.7, 0.529785
8.71, 0.534374
8.72, 0.538961
8.73, 0.543545
8.74, 0.548127
8.75, 0.552707
8.76, 0.557284
8.77, 0.561859
8.78, 0.566431
8.79, 0.571
8.8, 0.575567
8.81, 0.580131
8.82, 0.584693
8.83, 0.589252
8.84, 0.593809
8.85, 0.598363
8.86, 0.602914
8.87, 0.607462
8.88, 0.612008
8.89, 0.61655
8.9, 0.62109
8.91, 0.625628
8.92, 0.630162
8.93, 0.634693
8.94, 0.639222
8.95, 0.643748
8.96, 0.64827
8.97, 0.65279
8.98, 0.657307
8.99, 0.661821
9, 0.666331
9.01, 0.670839
9.02, 0.675344
9.03, 0.679845
9.04, 0.684343
9.05, 0.688839
9.06, 0.693331
9.07, 0.697819
9.08, 0.702305
9.09, 0.706787
9.1, 0.711266
9.11, 0.715742
9.12, 0.720214
9.13, 0.724683
9.14, 0.729149
9.15, 0.733611
9.16, 0.73807
9.17, 0.742526
9.18, 0.746978
9.19, 0.751426
9.2, 0.755871
9.21, 0.760313
9.22, 0.76475
9.23, 0.769185
9.24, 0.773615
9.25, 0.778042
9.26, 0.782466
9.27, 0.786885
9.28, 0.791301
9.29, 0.795713
9.3, 0.800122
9.31, 0.804526
9.32, 0.808927
9.33, 0.813324
9.34, 0.817717
9.35, 0.822107
9.36, 0.826492
9.37, 0.830874
9.38, 0.835251
9.39, 0.839625
9.4, 0.843994
9.41, 0.84836
9.42, 0.852721
9.43, 0.857078
9.44, 0.861432
9.45, 0.865781
9.46, 0.870126
9.47, 0.874466
9.48, 0.878803
9.49, 0.883135
9.5, 0.887463
9.51, 0.891787
9.52, 0.896107
9.53, 0.900422
9.54, 0.904733
9.55, 0.909039
9.56, 0.913341
9.57, 0.917639
9.58, 0.921932
9.59, 0.926221
9.6, 0.930505
9.61, 0.934785
9.62, 0.93906
9.63, 0.943331
9.64, 0.947597
9.65, 0.951858
9.66, 0.956115
9.67, 0.960367
9.68, 0.964615
9.69, 0.968857
9.7, 0.973095
9.71, 0.977328
9.72, 0.981557
9.73, 0.98578
9.74, 0.989999
9.75, 0.994213
9.76, 0.998422
9.77, 1.00263
9.78, 1.00683
9.79, 1.01102
9.8, 1.01521
9.81, 1.01939
9.82, 1.02357
9.83, 1.02775
9.84, 1.03191
9.85, 1.03608
9.86, 1.04024
9.87, 1.04439
9.88, 1.04854
9.89, 1.05268
9.9, 1.05682
9.91, 1.06095
9.92, 1.06508
9.93, 1.0692
9.94, 1.07332
9.95, 1.07743
9.96, 1.08154
9.97, 1.08564
9.98, 1.08973
9.99, 1.09382
10, 1.09791
